lat,lon,temp
58,0,44.932613360000005
58,1,44.932613360000005
58,2,42.15718112000002
58,3,40.36613864000003
58,4,34.740077720000045
58,5,24.554378120000024
58,6,22.568508500000007
58,7,22.568508500000007
58,8,22.29848492000002
58,9,22.29848492000002
58,10,22.29506690000005
58,11,22.305320960000017
58,12,22.06947758000001
58,13,21.943010840000056
58,14,21.850724300000024
58,15,21.717421520000016
58,16,21.68324131999998
58,17,21.649061120000056
58,18,21.553356559999997
58,19,21.457652000000053
58,20,21.38929159999998
58,21,21.38929159999998
58,22,21.508922299999995
58,23,21.44397992000006
58,24,21.44397992000006
58,25,21.41321774000005
58,26,21.221808620000047
58,27,21.194464460000006
58,28,21.279914960000042
58,29,21.26624288000005
58,30,21.36536546000002
58,31,21.515758340000048
58,32,21.46790606000002
58,33,21.372201500000017
58,34,21.491832200000033
58,35,21.491832200000033
58,36,21.41321774000005
58,37,21.276496940000015
58,38,21.12268604000002
58,39,21.12268604000002
58,40,21.279914960000042
58,41,21.526012400000013
58,42,21.847306279999998
58,43,21.929338760000007
58,44,21.82679816000001
58,45,21.88832252000003
58,46,21.912248660000046
58,47,21.963518959999988
58,48,22.08656768000003
58,49,22.06947758000001
58,50,22.05580550000002
58,51,22.028461340000035
58,52,22.00453520000002
58,53,22.13441996000006
58,54,22.13441996000006
58,55,22.209616400000016
58,56,22.213034419999985
58,57,22.377099380000004
58,58,22.377099380000004
57,0,44.932613360000005
57,1,44.932613360000005
57,2,42.15718112000002
57,3,40.36613864000003
57,4,34.740077720000045
57,5,24.554378120000024
57,6,22.568508500000007
57,7,22.568508500000007
57,8,22.29848492000002
57,9,22.29506690000005
57,10,22.29506690000005
57,11,22.305320960000017
57,12,22.06947758000001
57,13,21.943010840000056
57,14,21.850724300000024
57,15,21.717421520000016
57,16,21.68324131999998
57,17,21.649061120000056
57,18,21.553356559999997
57,19,21.457652000000053
57,20,21.464488039999992
57,21,21.38929159999998
57,22,21.508922299999995
57,23,21.44397992000006
57,24,21.41321774000005
57,25,21.41321774000005
57,26,21.221808620000047
57,27,21.194464460000006
57,28,21.279914960000042
57,29,21.26624288000005
57,30,21.493377748460947
57,31,21.450613847036387
57,32,21.38268412565455
57,33,21.422113090225647
57,34,21.487123777784888
57,35,21.42284452587485
57,36,21.343143378148902
57,37,21.26363230383989
57,38,21.258108073962923
57,39,21.27415456778119
57,40,21.45964697865698
57,41,21.642849361460385
57,42,21.862357050166924
57,43,21.9077234044368
57,44,21.828041141731724
57,45,21.88404113608894
57,46,21.91143275414031
57,47,21.956130391592275
57,48,22.063525025072757
57,49,22.085650428264827
57,50,22.100073412526214
57,51,22.075186715788774
57,52,21.997000832448975
57,53,22.041597309412175
57,54,22.148619591207613
57,55,22.17188260952669
57,56,22.207938589996733
57,57,22.336083140000028
57,58,22.336083140000028
56,0,44.932613360000005
56,1,44.932613360000005
56,2,42.15718112000002
56,3,40.36613864000003
56,4,34.740077720000045
56,5,24.554378120000024
56,6,22.886384360000022
56,7,22.568508500000007
56,8,22.29848492000002
56,9,22.29506690000005
56,10,22.26890209980834
56,11,22.143773091835925
56,12,22.132581664323997
56,13,22.059119550844436
56,14,21.89015700170473
56,15,21.789307033774413
56,16,21.69020331749428
56,17,21.61858307369957
56,18,21.584955061573268
56,19,21.506530081863595
56,20,21.438864855299613
56,21,21.43991434653011
56,22,21.464653549513677
56,23,21.50238411275398
56,24,21.42637836276299
56,25,21.298792746821213
56,26,21.183805214984606
56,27,21.190148757020808
56,28,21.26465887918731
56,29,21.301587650492877
56,30,21.38753489290437
56,31,21.51611727242294
56,32,21.39651283570776
56,33,21.284375848973355
56,34,21.116476520468947
56,35,21.07685003979966
56,36,21.082027068102025
56,37,21.171724551127234
56,38,21.300549754454394
56,39,21.452188852927875
56,40,21.662535517171154
56,41,21.815592853893605
56,42,21.876058115988606
56,43,21.902513076397216
56,44,21.859537058124587
56,45,21.848886999545968
56,46,21.89590098097986
56,47,21.897164020325437
56,48,22.023976070958255
56,49,22.03326435841351
56,50,21.90771288619803
56,51,21.95323536809815
56,52,21.924056770167862
56,53,21.9556145577615
56,54,22.047885119314078
56,55,22.131000331737283
56,56,22.141299762973333
56,57,22.175436200000036
56,58,22.175436200000036
55,0,44.932613360000005
55,1,44.44122373887136
55,2,42.021020111469184
55,3,40.58610690057106
55,4,35.81138958611298
55,5,26.851352307577933
55,6,23.356668102274693
55,7,22.720948908217295
55,8,22.441558620532927
55,9,22.281205903603343
55,10,22.245993084718783
55,11,22.180350488866296
